Date,Rate
1913-01-01,7.000
1914-01-01,7.000
1915-01-01,7.000
1916-01-01,15.000
1917-01-01,67.000
1918-01-01,77.000
1919-01-01,73.000
1920-01-01,73.000
1921-01-01,73.000
1922-01-01,58.000
1923-01-01,43.500
1924-01-01,46.000
1925-01-01,25.000
1926-01-01,25.000
1927-01-01,25.000
1928-01-01,25.000
1929-01-01,24.000
1930-01-01,25.000
1931-01-01,25.000
1932-01-01,63.000
1933-01-01,63.000
1934-01-01,63.000
1935-01-01,63.000
1936-01-01,79.000
1937-01-01,79.000
1938-01-01,79.000
1939-01-01,79.000
1940-01-01,81.100
1941-01-01,81.000
1942-01-01,88.000
1943-01-01,88.000
1944-01-01,94.000
1945-01-01,94.000
1946-01-01,86.450
1947-01-01,86.450
1948-01-01,82.130
1949-01-01,82.130
1950-01-01,84.360
1951-01-01,91.000
1952-01-01,92.000
1953-01-01,92.000
1954-01-01,91.000
1955-01-01,91.000
1956-01-01,91.000
1957-01-01,91.000
1958-01-01,91.000
1959-01-01,91.000
1960-01-01,91.000
1961-01-01,91.000
1962-01-01,91.000
1963-01-01,91.000
1964-01-01,77.000
1965-01-01,70.000
1966-01-01,70.000
1967-01-01,70.000
1968-01-01,75.250
1969-01-01,77.000
1970-01-01,71.750
1971-01-01,70.000
1972-01-01,70.000
1973-01-01,70.000
1974-01-01,70.000
1975-01-01,70.000
1976-01-01,70.000
1977-01-01,70.000
1978-01-01,70.000
1979-01-01,70.000
1980-01-01,70.000
1981-01-01,69.125
1982-01-01,50.000
1983-01-01,50.000
1984-01-01,50.000
1985-01-01,50.000
1986-01-01,50.000
1987-01-01,38.500
1988-01-01,28.000
1989-01-01,28.000
1990-01-01,28.000
1991-01-01,31.000
1992-01-01,31.000
1993-01-01,39.600
1994-01-01,39.600
1995-01-01,39.600
1996-01-01,39.600
1997-01-01,39.600
1998-01-01,39.600
1999-01-01,39.600
2000-01-01,39.600
2001-01-01,39.100
2002-01-01,38.600
2003-01-01,35.000
2004-01-01,35.000
2005-01-01,35.000
2006-01-01,35.000
2007-01-01,35.000
2008-01-01,35.000
2009-01-01,35.000
2010-01-01,35.000
2011-01-01,35.000
2012-01-01,35.000
2013-01-01,39.600
2014-01-01,39.600
2015-01-01,39.600
2016-01-01,39.6
2017-01-01,39.6
2018-01-01,37.0